measure,indicator_code,indicator_name,first_period,last_period,last_update,geo_code,geo_name,statistical_source,transport,transport_url,extraction_date,total_dimension_codes
rent,0009631,"Valor mediano das rendas de novos contratos de arrendamento de alojamentos familiares (Metodologia 2021 - €/ m²) por Localização geográfica (NUTS - 2013); Anual - INE, Estatísticas de Rendas da Habitação ao nível local",2017,2023,2024-03-28,1701106,Lisboa,"Instituto Nacional de Estatística (INE), Portugal",Pipeworx INE proxy,https://gateway.pipeworx.io/ine-pt/mcp,2026-08-29T23:11:59.726+01:00,{}
income,0009934,"Valor mediano do rendimento bruto declarado por sujeito passivo (€) por Localização geográfica (NUTS - 2013); Anual - INE, Estatísticas do Rendimento ao nível local com base na informação produzida pelo Ministério das Finanças - Autoridade Tributária e Aduaneira.",2015,2021,2023-07-25,1701106,Lisboa,"Instituto Nacional de Estatística (INE), Portugal",Pipeworx INE proxy,https://gateway.pipeworx.io/ine-pt/mcp,2026-08-29T23:12:14.052+01:00,{}
housing_stock,0008329,"Alojamentos familiares clássicos (Parque habitacional - N.º) por Localização geográfica (NUTS - 2013); Anual - INE, Estatísticas das obras concluídas",2011,2022,2025-09-11,1701106,Lisboa,"Instituto Nacional de Estatística (INE), Portugal",Pipeworx INE proxy,https://gateway.pipeworx.io/ine-pt/mcp,2026-08-29T23:12:37.646+01:00,{}
population,0008272,"População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário (Por ciclos de vida); Anual - INE, Estimativas anuais da população residente",2011,2023,2026-07-17,1701106,Lisboa,"Instituto Nacional de Estatística (INE), Portugal",Pipeworx INE proxy,https://gateway.pipeworx.io/ine-pt/mcp,2026-08-29T23:12:54.564+01:00,"{""3"": ""T"", ""4"": ""T""}"
overnight_stays,0009877,"Dormidas (N.º) nos estabelecimentos de alojamento turístico por Localização geográfica (NUTS - 2013) e Tipo (alojamento turístico); Anual - INE, Inquérito à permanência de hóspedes na hotelaria e outros alojamentos",2017,2025,2026-07-09,1701106,Lisboa,"Instituto Nacional de Estatística (INE), Portugal",Pipeworx INE proxy,https://gateway.pipeworx.io/ine-pt/mcp,2026-08-29T23:16:06.567+01:00,"{""3"": ""T""}"
