episode,start_year,end_year,rent_change_pct,income_change_pct,rent_income_ratio_change_pct,rent_log_change_pct,income_log_change_pct,affordability_log_gap_pct,tourism_intensity_change_pct
pre_pandemic,2017,2019,24.324324,16.666667,6.563707,21.772348,15.415068,6.357280,9.648647
pandemic,2019,2021,-6.020067,4.271429,-9.869909,-6.208890,4.182720,-10.391611,-65.920196
recovery,2021,2024,41.725979,11.508426,27.098896,34.872528,10.892997,23.979531,178.832532
post_2022,2022,2024,23.680124,7.601798,14.942433,21.252840,7.326717,13.926123,13.298918
rent_acceleration,2022,2023,18.167702,3.100212,14.614413,16.693463,3.053126,13.640338,10.709323
recent_stabilisation,2023,2024,4.664915,4.366224,0.286194,4.559377,4.273591,0.285786,2.339093
